Vakken;vak1;vak2;vak3;vak4;vak5;sum
Advanced Heuristics;20;0;0;0;0;20
Algoritmen en complexiteit;42;1;0;0;0;43
Analysemethoden en -technieken;47;2;0;0;0;49
Architectuur en computerorganisatie;16;5;0;0;0;21
Autonomous Agents 2;18;4;0;0;0;22
Bioinformatica;36;9;0;0;0;45
Calculus 2;74;28;4;0;0;106
Collectieve Intelligentie;41;16;4;0;0;61
Compilerbouw;39;27;3;0;0;69
Compilerbouw practicum;23;13;4;0;0;40
Data Mining;18;5;2;2;0;27
Databases 2;25;27;18;2;0;72
Heuristieken 1;17;15;10;2;0;44
Heuristieken 2;10;15;4;2;1;32
Informatie- en organisatieontwerp;5;13;3;0;0;21
Interactie-ontwerp;11;9;4;1;0;25
Kansrekenen 2;35;27;16;6;0;84
Lineaire Algebra;15;16;16;5;2;54
Machine Learning;5;10;4;3;0;22
Moderne Databases;17;18;12;5;2;54
Netwerken en systeembeveiliging;14;25;15;6;4;64
Programmeren in Java 2;25;32;25;18;10;110
Project Genetic Algorithms;3;17;9;6;1;36
Project Numerical Recipes;12;8;15;7;2;44
Reflectie op de digitale cultuur;10;14;13;13;1;51
Software engineering;7;22;27;14;5;75
Technology for games;8;8;7;10;5;38
Webprogrammeren en databases;9;11;12;7;0;39
Zoeken sturen en bewegen;7;9;14;7;5;42
;609;406;241;116;38;20
